Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
TD Shakespeare for Kids Library Club,18/04/2015,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Malvern,,01-Shakespeare for Kids,00-Culture Arts & Entertainment,,School-Age Children,,,27/04/2015 10:49:58 AM,"Join us for storytelling adventures. Explore the world of magic, witches, ghosts, silly mix-ups, and swordplay in the some of the greatest stories ever told! Over six Saturdays, professional actors and educators from Shakespeare in Action theatre company lead kids 7-12 through drama games and Shakespeare's plays, such as The Comedy of Errors, Henry IV, Macbeth, A Midsummer Night's Dream, Romeo & Juliet, The Tempest, and Twelfth Night. The program is free. Registration is required. Space is limited.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Computer User Education,18/04/2015,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Malvern,,00-Computer & Library Training,,,Adult,Older Adult,,27/04/2015 10:49:59 AM,"The Malvern Branch provides basic computer training on various topics of interest. Classes offered include: Move that Mouse Word Basics 1 & 2 PowerPoint Basics Excel Basics 1 & 2 Web Basics 1 & 2 Saturdays, 10am-12pm. Space is limited and some classes require basic computer skills. For more information and to register, please call the branch at 416-396-8969.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Chess in the Library,18/04/2015,,10:30 AM,12:00 PM,10:30 AM,12:00 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,27/04/2015 10:49:58 AM,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Monthly Puppet Shows,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,All Children,,,21/04/2015 2:48:12 PM,Saturdays at Downsview are back! Join us for fun monthly puppet shows from February til May. No registration required. Ideal for ages 3 to 8. Call 416-395-5720 for more information. February 21: The Three Bears March 21: Brendan the Big-Hearted Bear April 18: Beans for Tiger May 16: Harry by the Sea,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,23/04/2015 10:31:35 AM,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,01-Ready for Reading Storytimes,00-Reading Programs & Storytimes,,All Ages,,,2/6/2015 12:31,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,23/04/2015 10:31:35 AM,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,23/04/2015 10:31:35 AM,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Saturday Family Stories,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Spadina Road,,00-Reading Programs & Storytimes,,,Pre-School Children,,,1/5/2015 13:30,"Join us in the library for stories, rhymes, bounces and more. Saturdays from April 18th to May 23rd, from 11:00-11:30. No registration required. Spadina Road Branch 416-393-7666",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,18/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,27/04/2015 10:49:59 AM,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
TD Shakespeare for Kids Library Club,18/04/2015,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Albion,Auditorium,01-Shakespeare for Kids,00-Culture Arts & Entertainment,,School-Age Children,,,23/04/2015 10:31:35 AM,"Join us for storytelling adventures. Explore the world of magic, witches, ghosts, silly mix-ups, and swordplay in the some of the greatest stories ever told! Over six Saturdays, professional actors and educators from Shakespeare in Action theatre company lead kids 7-12 through drama games and Shakespeare's plays, such as The Comedy of Errors, Henry IV, Macbeth, A Midsummer Night's Dream, Romeo & Juliet, The Tempest, and Twelfth Night. The program is free. Registration is required. Space is limited.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Children's Classics and Crafts,18/04/2015,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Yorkville,Program Room,00-Reading Programs & Storytimes,01-Family Literacy Month,,All Children,,,23/04/2015 3:56:50 PM,Come and listen to some classic children's stories and make a craft to take home. All ages. No registration required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Agincourt Library Family Book Club,18/04/2015,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Agincourt,Children's Department,00-Book Clubs & Writers Groups,,,School-Age Children,Adult,,21/04/2015 6:59:43 PM,Enjoy some great book chats and book related activities! For parents/caregivers and children ages 6-9 years old. Register for this monthly program at Agincourt Branch or call 416-396-8952 for more information. For the first meeting we will discuss Flat Stanley by Jeff Brown!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Women's Support Group,18/04/2015,,4:00 PM,6:00 PM,4:00 PM,6:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Adult,,,21/04/2015 6:59:43 PM,"Newcomer women are invited to share and learn about one another's experiences in a welcoming environment. Participants will gain knowledge and discuss important issues relevant to newcomer women. For more information please call 647-388-3762. *Note: Saturday sessions are from 1:30-4:30pm In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
CANCELLED - Old Age Security Workshop in English,20/04/2015,,1:30 PM,3:30 PM,1:30 PM,3:30 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,z DO NOT USE-Personal Finance,,Older Adult,,,25/04/2015 2:44:51 PM,"*This workshop has been cancelled.* This workshop will help you find out what Old Age Security (OAS) is, who is qualified to apply for these senior benefits, how to apply, how to calculate them and related questions and answers. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Facebook Basics,20/04/2015,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,25/04/2015 2:44:51 PM,Curious about Facebook? Learn how to sign up for an account and get started with the basics. Please note a valid email address is required to sign up for a Facebook account. Please register in person or call 416-396-8950.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Youth Book Club & Conversation Group,20/04/2015,,4:00 PM,6:00 PM,4:00 PM,6:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Teen,,,25/04/2015 2:44:51 PM,"Read great books and practice your English skills. To join the Newcomer Youth Book Club please phone Wen at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Conversation Circle,20/04/2015,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,01-Library Settlement Partnerships,00-ESL & Newcomer Programs,,Adult,Older Adult,,23/04/2015 10:31:35 AM,"Join us on Monday afternoons to practice your English conversation skills. Improve your English speaking, listening and comprehension skills. For more detailed information and registration, please contact Library Settlement Counsellor Paulomi at 416-835-9462 or call the Albion Branch at 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,20/04/2015,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,23/04/2015 10:31:35 AM,"Get in touch with your creative side! Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,20/04/2015,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,2/6/2015 11:57,"Get in touch with your creative side! Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,20/04/2015,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,23/04/2015 10:31:35 AM,"Get in touch with your creative side! Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Evergreen Book Club,20/04/2015,,6:30 PM,7:30 PM,6:30 PM,7:30 PM,Albion,,00-Book Clubs & Writers Groups,,,Adult,,,23/04/2015 10:31:35 AM,"Find out about ten great, new books by Canadian authors. Read one of the books by November and then vote in the Ontario Library Association's Evergreen Forest of Reading program. Please register at the adult information desk or by calling 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
English Conversation Circle,20/04/2015,,6:30 PM,8:00 PM,6:30 PM,8:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Adult,,,25/04/2015 2:44:51 PM,"Are you a newcomer looking to improve your English language skills? Join us for weekly sessions to practice your English conversation and listening skills in a welcoming environment. To register please call the library settlement worker at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,21/04/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,27/04/2015 10:49:58 AM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Toddler Time,21/04/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,28/04/2015 11:54:38 AM,"Enjoy songs, rhymes, stories and bounces with your toddler! Tuesdays from 10:30-11am. Drop-in only. Ages 18-36 months.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,21/04/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,28/04/2015 11:54:38 AM,"Enjoy songs, rhymes, stories and bounces with your toddler! Tuesdays from 10:30-11am. Drop-in only. Ages 18-36 months.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,21/04/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,28/04/2015 5:05:08 PM,"Parents and caregivers are invited to bring children aged 19-36 months out to Toddler Time on Tuesday mornings from 11-11:30 a.m. Enjoy fun stories, songs and rhymes for seven sessions! Registration is required. Please call 416-395-5720 for more information or to sign up. Sessions run on April 7, 14, 21, 28 and May 5, 12 and 19.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Memory Fitness in Mandarin,21/04/2015,,1:00 PM,3:00 PM,1:00 PM,3:00 PM,Agincourt,Program Room,01-Library Settlement Partnerships,00-ESL & Newcomer Programs,00-Health & Wellness,Older Adult,Adult,,25/04/2015 2:44:51 PM,"Work on improving your memory! In Mandarin. To register please call Wen at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Memoir Club,21/04/2015,,1:30 PM,3:00 PM,1:30 PM,3:00 PM,Rexdale,,00-Book Clubs & Writers Groups,,,Adult,,,30/04/2015 1:44:13 PM,Share and improve your memoir writing skills with your writing group.,"{""smallImageURL"":""http://node2.nirvanix.com/6FilYi_6~O_jMaY5fM_~eVuzOhx8~PUz81NGN9l~cBATAuA/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/F75DEAEF8603433D86B9333FBC4C3C53/EVT143103_F75DEAEF8603433D86B9333FBC4C3C53.jpg"",""mediumImageURL"":""http://node2.nirvanix.com/onNoX2o-~--ATr3pUWt~_H_EmTxP~bMbLKMAfoU~kH1eDWo/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/869655651DB74D43AB9CDDEC97AD1F58/EVT143103_869655651DB74D43AB9CDDEC97AD1F58.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Afternoon Book Club,21/04/2015,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,00-Book Clubs & Writers Groups,,,Adult,Older Adult,,27/04/2015 10:49:59 AM,Join us for an exciting afternoon of great books and conversation. Please register and pick up your copy at the Information Desk. All are welcome!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Canadian Citizenship Test Preparation,21/04/2015,,4:00 PM,6:00 PM,4:00 PM,6:00 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,27/04/2015 10:49:59 AM,"Do you need help preparing and studying for the Canadian Citizenship Test? Complete the free citizenship test preparation program in 5 classes at the Malvern District Branch. For information or to register,visit the branch or call 416-396-8969. Cosponsored with Agincourt Community Services Association.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Library Club,21/04/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Agincourt,Children's Department,00-Culture Arts & Entertainment,,,School-Age Children,,,25/04/2015 2:44:51 PM,"Looking for something to do after school? Join our Library Club, learn new things,and have fun. For ages 9-12. Register at the Children's department or call 416-396-8952.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Maker Program,21/04/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Malvern,,00-Hobbies Crafts & Games,01-Maker Programs,,School-Age Children,,,27/04/2015 10:49:59 AM,Put your imagination to work and join us for this craft and creative play program after school Tuesdays. Drop in.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Club,21/04/2015,,5:00 PM,7:00 PM,5:00 PM,7:00 PM,Albion,,00-Homework Help Leadership & After School,,,School-Age Children,,,28/04/2015 11:54:38 AM,"Looking for something to do after school? Join our After School Club on Tuesdays and learn new things, make stuff, meet other kids and have fun! Open to kids ages 6 to 12. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Knitting and Crochet Circle,21/04/2015,,6:00 PM,7:30 PM,6:00 PM,7:30 PM,Albion,,00-Hobbies Crafts & Games,00-Culture Arts & Entertainment,,Adult,Older Adult,,22/05/2015 12:46:49 PM,"Are you looking for help with your knitting or crochet project? Want to learn how to knit or crochet with a fun group of people? Join our Knitting & Crochet Circle! The circle is led by friendly Albion residents every Tuesday nights at the Albion Branch. Beginners and those who are completely new to knitting and crochet are warmly welcome. Free program. No registration required. For more information, please call the Albion Branch at 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,21/04/2015,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,2/1/2015 12:40,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechampinitiative.org. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,21/04/2015,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,27/04/2015 10:49:58 AM,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechampinitiative.org. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Golden Oak Author visits Downsview,21/04/2015,,7:00 PM,8:00 PM,6:30 PM,8:30 PM,Downsview,Auditorium,00-Adult Literacy,,,Adult,,,28/04/2015 5:05:08 PM,"Don Quinlan, author of the Golden Oak nominated Rick Hansen: A Life in Motion, will be reading from his book and talking about his career as a writer. Quinlan, a retired history teacher, has authored or coauthored thirty text books in the field of history. His latest projects include popular biographies of Canadians who have found success and shown leadership while dealing with significant challenges. He is currently enjoying being a political activist in Toronto. This promises to be a lively and entertaining evening with a fascinating author.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,22/04/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,27/04/2015 10:49:58 AM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,22/04/2015,,10:15 AM,10:45 AM,10:15 AM,10:45 AM,Spadina Road,,01-Ready for Reading Storytimes,,,Pre-School Children,,,10/5/2015 16:00,"10:15-10:45 Every Wednesday. Stories, songs, rhymes and activities for children age 5 and under with their parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler time,22/04/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Malvern,,01-Ready for Reading Storytimes,,,Pre-School Children,,,27/04/2015 10:49:59 AM,"Stories, songs, and rhymes for toddlers with parents and caregivers. Drop-in.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Landlord and Tenant Rights Workshop,22/04/2015,,11:00 AM,12:30 PM,11:00 AM,12:30 PM,Agincourt,Program Room,01-Library Settlement Partnerships,00-ESL & Newcomer Programs,z DO NOT USE-Business Legal & Personal Finance,Adult,,,25/04/2015 2:44:51 PM,"Learn about landlord and tenant rights. To register please call Wen at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Make the Connection with Toronto Public Health,22/04/2015,,1:00 PM,3:00 PM,1:00 PM,3:00 PM,Albion,,00-Reading Programs & Storytimes,,,Pre-School Children,Adult,,28/04/2015 11:54:38 AM,"A free program for parents and babies from birth to 12 months. Learn more about connecting with your baby in ways that make your baby feel loved, and promote language and learning. For more info or to register, call Kerian (Public Health Nurse) at 416-338-6259.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crocheting 101,22/04/2015,,1:00 PM,2:30 PM,1:00 PM,2:30 PM,Downsview,Committee Room 1,00-Hobbies Crafts & Games,,,Adult,Older Adult,Teen,28/04/2015 5:05:08 PM,"Learn the art of crochet. Bring your crochet needles, wool or for beginners we will have basic supplies on hand. Join other like-minded crocheters. For information or to register contact Downsview Library at 416-395-5720.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
LEGO/K'NEX CLUB,22/04/2015,,3:30 PM,5:00 PM,3:30 PM,5:00 PM,Yorkville,Art Gallery,00-Hobbies Crafts & Games,00-Homework Help Leadership & After School,,School-Age Children,,,2/5/2015 10:19,Do you enjoy building? Come join our after school LEGO/K'NEX Club. Whole Foods provides a nutritious snack. All ages. No registration required. 416-393-7660.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Get Started with Seeds,22/04/2015,,4:30 PM,7:00 PM,4:30 PM,7:00 PM,Albion,Auditorium,00-Hobbies Crafts & Games,,,All Ages,,,28/04/2015 11:54:38 AM,Vegetable seeds to trade or by donation. Learn how to save your own seeds. Seedy crafts for kids. Snacks provided. Brought to you by Toronto Urban Growers and the Rexdale Community Garden Network. Entrance is free!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Voilà Learning Community Help,22/04/2015,,4:30 PM,6:00 PM,4:30 PM,6:00 PM,Malvern,,00-Homework Help Leadership & After School,02-French,,School-Age Children,,,27/04/2015 10:49:59 AM,"In partnership with Voila Community Help, homework support and language enrichment is provided for students in Extended, Immersion or Francophone grades 1-6. Space is limited. Registration is required. Register online at: http://voilalearning.com/english/school-or-library.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
2015 Toronto Star Short Story Contest,22/04/2015,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Yorkville,Program Room,01-Thought Exchange,,,Adult,Teen,Older Adult,2/5/2015 10:19,Have you ever imagined yourself as a published author? Join us to honour the winners of the 2015 Toronto Star Short Story Contest! Cash bar reception: 6:00 pm Awards presentation: 6:30 pm,"{""smallImageURL"":""http://tpl.razuna.com/assets/3434/2264B715F44E437D92FFE1D2F7848DD2/img/925F806A76964F45AE48B6DC80818C96/Toronto_Star_Short_Story_TPL_cropped-150x185_925F806A76964F45AE48B6DC80818C96.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/2264B715F44E437D92FFE1D2F7848DD2/img/ACDF36F7CDC14E5085A194B5C27F2438/Toronto_Star_Short_Story_TPL_cropped-150x185_ACDF36F7CDC14E5085A194B5C27F2438.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Albion Maker Club,22/04/2015,,6:30 PM,7:30 PM,6:30 PM,7:30 PM,Albion,,01-Maker Programs,,,School-Age Children,,,28/04/2015 11:54:38 AM,"Join the Maker Club and create something cool to take home! Learn new skills, try science experiments, explore new technologies. Have fun with crafts. Drop-in only. Ages 6 to 12 only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler time,22/04/2015,,10:30 PM,11:00 PM,10:30 PM,11:00 PM,Malvern,,00-Reading Programs & Storytimes,,,Pre-School Children,,,27/04/2015 10:49:59 AM,"Stories, songs, and rhymes for toddlers with parents and caregivers. Drop-in.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,23/04/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,27/04/2015 10:49:58 AM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Babytime,23/04/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Malvern,,01-Ready for Reading Storytimes,,,Pre-School Children,,,27/04/2015 10:49:59 AM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months with their parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Master Gardeners: 10 Tips for Low Maintenance Gardening,23/04/2015,,1:00 PM,2:00 PM,12:30 PM,2:30 PM,Downsview,Program Room,01-Green Programs,00-Hobbies Crafts & Games,00-Health & Wellness,Adult,Older Adult,,28/04/2015 5:05:08 PM,"Join Master Gardener Lorraine Flanigan, Editor of Trellis the Toronto Botanical Gardens’ magazine of gardening and environmental information, for tips on low maintenance gardening. For registration and information call or visit the Downsview Library.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Balcony and Terrace Container Gardening,23/04/2015,,1:00 PM,2:30 PM,1:00 PM,2:30 PM,City Hall,,01-Ask an Expert,z DO NOT USE Lunchtime Programs,,Adult,Older Adult,,7/5/2015 15:55,An expert from Toronto Master Gardeners will present inspiring photos and practical ideas for successful gardening above ground.,"{""smallImageURL"":""http://tpl.razuna.com/assets/3434/9C1926937D4F4C6DB0AA2F61B530D19A/img/588F2D7A51734E1C96051CF69ECF6807/MGLOGO_-_green_2009transparent-150x185_588F2D7A51734E1C96051CF69ECF6807.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/9C1926937D4F4C6DB0AA2F61B530D19A/img/8B229F02EBA04B138B2D3AD75321F41F/MGLOGO_-_green_2009transparent-150x185_8B229F02EBA04B138B2D3AD75321F41F.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Brain Games,23/04/2015,,1:00 PM,1:00 PM,1:00 PM,1:00 PM,Malvern,,00-Hobbies Crafts & Games,,,Older Adult,Adult,,27/04/2015 10:49:59 AM,"Take time to play! Puzzles, cards and games help increase your memory and work your mind! Bring your own or try one of ours! This drop-in program for older adults is cosponsored with Malvern Family Resource Centre, Seniors Centre. For information call the branch: 416-396-8970.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Learning Together,23/04/2015,,4:00 PM,5:30 PM,4:00 PM,5:30 PM,Albion,,00-Reading Programs & Storytimes,,,School-Age Children,,,28/04/2015 11:54:38 AM,"Bring your 2 to 6 year old and join us for stories, songs, rhymes and a craft. Presented by Braeburn Ontario Early Years Centre. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
